wert,wert,wert
t,pw,pk
09:01:21,6.6,3.2
09:03:16,7.0,3.2
09:05:29,7.7,3.1
09:07:44,8.2,2.65
09:10:01,8.6,2.6
09:12:11,9.0,2.4
09:14:18,9.5,2.5
09:16:30,9.8,2.1
09:18:35,10.2,2.05
09:20:37,10.45,1.9
09:22:41,10.8,1.9
09:24:44,11.0,1.8
09:26:51,11.4,1.75
09:28:51,11.6,1.75
09:30:51,11.8,1.70
09:33:16,11.75,1.8
09:35:16,12.20,1.9
09:37:17,12.80,1.9
09:39:19,12.50,1.9
09:41:29,13.40,1.85
09:43:32,13.20,1.85
09:45:34,13.90,1.85
09:47:40,14.00,1.85
09:49:40,13.90,1.85
09:51:43,14.30,1.80
09:53:45,14.60,1.80
09:55:45,14.80,1.80
09:57:51,15.00,1.80
09:59:54,15.00,1.80
10:01:53,15.20,1.80
10:03:54,15.60,1.80
